! recostruction matrix elements for HMS, tune HMS-100
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
! as of 02/20/97, no z offset included: this statement is obsolete
! created: 06/28/98
! zeroth order matrix elements from fitting:
! <theta|> -4.7276368293E-03 rad
! <y|> -1.1606458055E-04 m
! <phi|>  4.8280702357E-05 rad 
! <p|> -3.8725980576E-03 %
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
!   For xptar include xtar correction from SIMC COSY file
!   fitted new xptar using the xtar correction with xtar mztrix fixed
!   fitted new ytar and yptar for extended target
!   May 15th , 2009 , 3rd iteration of xptar fit
 ---------------------------------------------------------------------
   -0.00343320596 -8.55129322e-05  0.000273135681               0 00000
       14.0854426               0               0               0 10211
      -7.18970025               0               0               0 01211
       46.6175282               0               0               0 00311
      -49.7218825               0               0               0 20021
          -23.494               0               0               0 11021
      -4.63065295               0               0               0 02021
      -7.01252658               0               0               0 10121
      -1.66128414               0               0               0 01121
       8.99761159               0               0               0 00221
      -1.51837641               0               0               0 10031
     -0.259505376               0               0               0 01031
       1.21378871               0               0               0 00131
      0.265212468               0               0               0 00041
        327.02351               0               0               0 30002
      -46.7603764               0               0               0 21002
      -13.1130776               0               0               0 12002
      -2.14608775               0               0               0 03002
      -405.162634               0               0               0 20102
      -37.8327394               0               0               0 11102
      -3.28616433               0               0               0 02102
      -797.756623               0               0               0 10202
      -100.253463               0               0               0 01202
         -58.1494               0               0               0 00302
      -26.9158564               0               0               0 20012
      -2.93740577               0               0               0 11012
     -0.281699956               0               0               0 02012
      -44.2613806               0               0               0 10112
      -5.18873926               0               0               0 01112
      -2.30913015               0               0               0 00212
      -3.83394487               0               0               0 10022
     -0.448803101               0               0               0 01022
     0.0432742246               0               0               0 00122
     0.0342938618               0               0               0 00032
       12.9742811               0               0               0 20003
       1.29863794               0               0               0 11003
      0.179319821               0               0               0 02003
      0.359636043               0               0               0 10103
    -0.0686000125               0               0               0 01103
      0.479897726               0               0               0 00203
      0.043379578               0               0               0 10013
   0.000381017134               0               0               0 01013
     0.0717327023               0               0               0 00113
      0.027421903               0               0               0 00023
    0.00404935152               0               0               0 10004
  -0.000704014248               0               0               0 01004
    0.00417717692               0               0               0 00104
    0.00382346774               0               0               0 00014
     0.0014659581               0               0               0 00005
      -9.65680642      9.95640391     -2.70392084               0 60000
       171.190173     -152.987974      48.1610591               0 51000
      -677.265706      487.922148     -207.857762               0 42000
      -184.910803      464.021994     -61.9880518               0 33000
      -123.715552      159.975107     -26.4960257               0 24000
      -53.0168719      43.4577396     -10.6530511               0 15000
      -19.9832034      11.5555364       -4.172049               0 06000
       35.6455106     -71.9350388       18.961199               0 50100
       -352.91766      996.298087     -223.661628               0 41100
       194.964915     -2909.83676       815.76379               0 32100
       107.460389     -1469.69986      441.485957               0 23100
       43.9368962     -409.118975      126.837599               0 14100
       14.1710199     -89.3680548      28.4874434               0 05100
      -39.6068063      79.0596754     -17.2698907               0 40200
       502.440561     -297.319989      54.3237832               0 31200
      -1482.24909       658.39034      55.5028887               0 22200
      -511.031343      291.875975      2.62902212               0 13200
      -132.450252      81.0768202     -6.40908227               0 04200
